Product_Code,W0,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,MIN,SUM,MAX,Avg, 
P24,36,42,27,33,40,48,38,39,41,39,44,35,53,52,43,45,41,42,43,26,35,29,48,24,33,34,23,24,26,28,32,34,38,40,32,31,50,36,43,42,32,32,38,36,39,32,31,39,23,40,32,14,14,1877,53,36.09615385,
P25,26,28,33,32,20,33,42,29,24,32,45,41,35,39,32,36,31,32,48,26,34,30,36,31,34,19,19,27,28,32,21,24,34,26,38,32,26,22,27,32,37,29,32,27,40,33,29,35,30,29,25,20,19,1602,48,30.80769231,
P26,14,14,9,8,9,7,9,11,10,14,16,7,15,8,18,8,11,12,9,15,16,20,7,10,12,9,9,9,5,8,10,10,10,7,6,6,11,7,10,8,10,5,15,5,9,3,13,9,10,11,10,21,3,535,21,10.28846154,
P27,44,34,33,39,34,30,47,27,45,39,47,39,35,47,29,45,52,38,51,38,41,21,33,33,25,27,32,42,26,33,26,26,32,31,26,38,46,28,30,31,41,21,40,33,32,26,26,29,44,30,34,28,21,1804,52,34.69230769,
P28,34,32,36,41,31,31,32,29,43,33,37,44,37,27,36,38,24,36,30,32,29,40,41,36,33,22,28,23,35,36,33,32,24,31,22,33,37,34,33,29,36,33,32,35,41,34,29,30,27,26,34,25,22,1696,44,32.61538462,
P29,13,10,12,17,17,11,15,16,10,12,18,6,14,12,11,10,19,25,9,17,12,15,16,11,14,15,4,13,12,10,7,10,7,19,10,5,14,7,11,10,11,14,10,13,6,9,5,12,15,11,10,16,4,628,25,12.07692308,
P30,46,36,45,34,35,36,43,28,26,33,46,42,41,42,37,38,40,35,29,31,43,29,39,35,35,20,16,29,38,28,24,29,34,18,29,31,25,41,36,27,26,40,18,32,35,39,32,29,23,28,18,21,16,1690,46,32.5,
P31,7,17,6,7,9,7,11,10,13,9,4,15,10,7,10,9,11,8,14,9,10,3,3,1,8,10,5,6,14,9,12,8,9,5,10,6,14,10,6,12,11,11,8,5,7,9,3,9,6,8,4,7,1,442,17,8.5,
P32,15,13,10,4,13,7,10,12,11,15,5,15,8,10,7,16,11,10,7,11,6,8,5,3,12,10,9,9,6,7,13,7,12,15,7,6,9,6,6,9,11,5,5,11,12,8,12,11,4,6,6,7,3,473,16,9.096153846,
P33,15,12,11,17,10,18,11,16,8,6,11,10,18,10,14,13,13,12,14,10,10,11,14,11,10,17,8,13,6,16,9,4,12,10,19,9,7,5,10,8,11,5,11,13,11,11,11,14,15,16,17,11,4,604,19,11.61538462,
P34,47,42,24,55,42,23,41,51,45,29,51,40,28,48,35,40,38,36,53,38,39,41,31,43,33,30,27,37,34,37,38,39,23,33,41,38,28,35,33,33,35,34,29,25,38,46,46,34,34,45,41,26,23,1932,55,37.15384615,
P35,34,37,26,27,49,48,36,34,28,41,41,35,29,42,41,31,38,27,36,36,39,42,35,38,35,24,32,32,41,33,32,29,45,26,26,35,34,40,33,42,35,37,43,33,28,25,31,44,24,25,43,28,24,1805,49,34.71153846,
P36,41,32,39,45,38,40,39,39,27,48,47,35,61,34,37,47,30,46,41,45,38,39,39,34,37,24,35,22,39,39,32,40,34,23,21,39,25,22,34,33,38,31,26,37,27,29,50,31,31,28,36,19,19,1843,61,35.44230769,
P37,36,39,43,42,38,37,31,26,36,29,31,36,46,25,51,44,42,52,40,56,46,45,38,38,40,22,30,27,29,32,35,31,28,35,32,40,33,44,30,30,44,31,35,32,34,40,27,27,30,27,37,29,22,1858,56,35.73076923,
P38,37,36,43,52,61,50,35,52,49,46,53,57,35,33,42,41,31,43,36,42,27,36,30,39,41,21,31,21,30,20,34,36,35,40,34,27,29,35,40,20,23,27,41,38,37,35,32,28,48,35,24,24,20,1892,61,36.38461538,
P39,31,21,28,39,53,39,25,31,43,40,41,43,47,35,36,34,35,40,54,38,34,34,30,44,33,28,22,24,31,21,41,26,30,44,30,20,28,23,42,21,30,30,45,34,28,37,40,30,33,32,33,25,20,1756,54,33.76923077,
P40,41,27,27,51,37,38,48,40,39,40,47,31,48,43,37,45,47,39,50,38,38,44,33,27,39,23,22,29,24,36,33,33,32,38,32,30,32,34,41,47,28,26,23,38,36,40,44,39,37,24,27,22,22,1864,51,35.84615385,
P41,35,27,26,43,44,38,40,38,47,48,32,37,35,36,50,41,50,50,37,41,37,49,27,44,26,28,23,22,26,22,27,36,25,36,40,37,29,22,34,32,40,40,32,31,34,32,37,44,40,25,19,27,19,1818,50,34.96153846,
P42,42,27,40,27,32,42,31,37,22,38,33,39,37,45,48,31,45,35,31,48,31,41,29,40,36,25,26,22,26,37,28,27,31,28,39,24,25,29,24,25,25,34,41,27,39,30,41,28,22,29,15,16,15,1670,48,32.11538462,
P43,28,43,40,43,54,33,39,30,38,38,56,34,37,32,44,47,45,51,33,48,61,40,44,41,40,32,26,29,36,28,22,34,21,32,20,30,37,34,28,26,41,44,43,39,34,33,41,43,35,30,29,27,20,1913,61,36.78846154,
P44,34,27,28,36,50,28,31,33,34,27,29,33,30,45,35,42,45,37,39,32,40,38,41,40,31,24,31,26,27,23,33,31,33,33,26,19,37,38,38,37,19,33,33,45,29,28,27,32,33,27,29,16,16,1692,50,32.53846154,
P45,40,29,39,34,37,23,33,26,34,41,33,29,54,37,37,27,33,39,32,40,46,32,38,26,28,24,27,29,16,36,29,27,28,30,29,33,49,22,37,25,28,21,38,21,18,32,41,38,30,28,28,20,16,1651,54,31.75,
P46,27,46,31,38,40,40,53,43,45,32,37,32,38,39,28,43,50,39,44,33,35,33,38,26,28,24,21,26,24,33,28,24,24,29,23,30,38,29,23,30,41,30,33,46,30,29,31,32,21,34,31,14,14,1716,53,33,
P47,40,42,27,28,33,29,33,58,37,34,37,19,41,37,47,36,30,40,46,26,31,39,51,43,41,20,24,20,39,30,34,24,25,32,28,23,32,26,41,29,33,30,38,39,33,27,33,33,36,30,34,20,19,1738,58,33.42307692,
P48,29,51,40,33,43,28,29,41,35,45,43,41,30,32,51,50,45,34,37,40,34,35,39,52,27,19,43,31,19,28,30,30,32,38,33,30,28,17,34,38,31,36,36,22,38,34,33,44,23,31,35,27,17,1804,52,34.69230769,
P49,37,28,42,38,37,35,42,36,30,48,28,39,32,44,36,41,35,39,39,48,32,39,35,39,31,35,31,26,29,36,37,27,26,26,33,39,42,28,21,37,32,36,25,49,36,27,33,41,37,22,33,23,21,1797,49,34.55769231,
P50,12,3,15,8,12,7,9,10,12,8,13,11,9,9,11,7,12,13,11,10,5,7,6,6,8,5,7,6,12,4,9,10,10,5,7,4,7,10,8,9,6,17,6,12,12,10,10,8,5,8,9,9,3,459,17,8.826923077,
P51,19,14,17,27,14,18,18,18,14,18,19,17,28,25,21,16,24,26,14,18,20,25,20,21,17,7,21,19,20,14,20,19,16,12,16,20,25,15,18,18,16,15,19,9,27,14,17,12,16,13,19,7,7,932,28,17.92307692,
P52,40,44,37,48,28,40,35,32,41,36,44,39,31,32,43,39,46,36,31,43,34,31,33,34,32,41,26,19,25,28,22,29,21,23,21,38,33,26,19,28,34,32,35,41,29,34,36,33,30,40,23,20,19,1715,48,32.98076923,
P53,2,5,6,8,3,1,9,6,2,5,5,4,2,3,7,7,9,3,10,2,7,6,6,4,5,5,4,1,3,5,5,2,3,3,6,2,4,4,2,7,3,1,3,0,4,6,7,7,3,5,3,9,0,234,10,4.5,
P54,41,42,37,40,29,52,43,40,41,38,33,52,37,43,47,33,34,45,25,32,36,44,45,30,42,23,27,38,32,40,29,36,28,21,30,26,27,41,31,26,38,29,29,34,42,38,45,38,40,30,35,26,21,1860,52,35.76923077,
P55,34,30,42,42,29,24,36,42,42,29,42,47,26,30,32,37,40,30,37,33,40,36,22,31,39,24,26,24,27,24,25,43,29,27,34,21,33,30,34,22,22,25,32,32,25,36,36,23,28,43,20,25,20,1642,47,31.57692308,
P56,31,28,41,36,45,25,42,47,36,42,42,37,45,38,40,31,34,28,27,35,40,41,32,31,35,28,19,25,28,21,32,36,29,32,31,20,25,21,38,29,32,32,27,36,31,29,36,26,43,32,35,19,19,1701,47,32.71153846,
P57,38,26,37,43,51,39,42,27,36,45,27,39,37,41,28,45,39,34,40,45,39,35,35,45,32,17,23,28,38,26,36,35,24,24,32,34,30,30,17,27,36,35,33,29,37,20,38,38,32,14,26,20,14,1724,51,33.15384615,
P58,32,34,38,41,24,29,34,47,41,42,28,35,26,32,36,41,35,30,47,20,28,48,43,43,42,27,21,24,25,40,38,31,29,29,33,35,33,27,28,25,35,29,33,31,28,34,38,38,31,38,31,31,20,1738,48,33.42307692,
P59,5,13,10,11,10,11,10,8,9,13,11,12,8,7,8,7,11,10,7,6,14,12,11,11,14,4,7,9,7,10,5,4,9,5,9,7,14,6,7,7,8,11,12,3,8,11,7,9,8,12,5,13,3,466,14,8.961538462,
P60,37,41,46,27,51,28,38,40,37,34,34,26,39,33,32,37,45,34,47,40,41,41,46,24,41,18,24,34,32,40,23,32,32,29,34,34,25,23,19,19,28,29,28,31,42,21,35,25,37,29,32,21,18,1715,51,32.98076923,
P61,25,30,32,47,45,50,40,35,33,33,35,43,41,32,38,40,30,36,27,26,39,38,34,33,24,22,18,36,28,33,27,24,25,30,31,30,19,26,36,28,39,35,37,32,25,31,29,28,37,22,31,26,18,1671,50,32.13461538,
P62,12,27,18,22,19,19,25,19,8,15,15,18,15,22,18,16,19,21,18,14,20,15,15,10,22,13,11,20,20,12,10,9,8,12,24,23,11,12,18,8,19,18,18,13,19,13,12,9,20,20,10,10,8,834,27,16.03846154,
P63,37,39,54,44,30,36,48,39,40,34,50,40,40,41,55,34,42,46,43,33,30,44,39,30,29,24,31,18,32,20,34,29,28,40,36,29,29,35,31,30,40,41,28,36,25,28,37,33,28,37,27,20,18,1823,55,35.05769231,
P64,34,37,29,42,31,36,36,43,29,30,48,34,38,33,28,45,41,33,52,38,29,33,43,34,33,23,25,28,25,23,32,25,36,36,27,25,22,28,24,27,35,30,24,31,31,31,20,33,27,24,30,18,18,1649,52,31.71153846,
P65,14,10,9,10,11,9,9,7,12,5,16,17,7,7,12,5,15,15,13,11,8,10,9,13,16,6,6,10,9,9,12,5,15,9,8,8,5,14,12,4,13,5,9,8,7,6,6,4,6,8,7,8,4,489,17,9.403846154,
P66,35,41,45,34,50,40,41,39,36,45,48,27,35,34,44,27,48,48,34,31,49,35,36,42,30,31,26,47,44,34,19,19,19,31,29,40,48,33,36,29,40,34,39,33,44,30,23,27,31,28,31,23,19,1842,50,35.42307692,
P67,36,30,38,44,47,37,38,31,47,37,42,34,33,42,33,42,30,34,37,42,36,30,45,28,29,28,22,26,28,33,35,20,26,35,29,38,21,32,33,29,28,30,29,30,37,23,26,25,28,33,22,24,20,1692,47,32.53846154,
P68,14,11,9,9,5,19,3,8,10,19,7,8,6,16,10,10,12,5,13,7,5,11,7,7,11,14,2,11,8,7,6,7,9,8,8,5,9,12,12,4,8,7,5,4,7,6,7,4,8,8,8,6,2,442,19,8.5,
P69,26,43,46,39,41,31,41,35,44,26,48,46,35,38,39,36,38,35,31,41,43,36,44,27,26,20,35,32,19,39,38,33,24,23,35,28,34,27,24,30,36,30,29,22,36,26,33,44,29,36,27,22,19,1746,48,33.57692308,
P70,31,39,50,31,37,30,37,44,35,33,26,32,41,35,35,47,43,45,41,40,29,22,36,25,32,18,22,21,27,30,35,33,32,24,18,35,33,30,24,23,36,27,31,39,38,21,32,33,34,24,22,30,18,1668,50,32.07692308,
P71,7,11,10,8,10,14,12,10,11,10,12,12,5,15,12,12,8,10,10,9,6,10,12,11,6,10,8,10,11,10,8,13,3,7,8,13,10,8,10,10,5,7,7,13,8,7,12,10,7,10,10,6,3,494,15,9.5,
P72,26,34,39,41,39,38,52,40,28,34,43,32,36,45,43,39,48,36,55,44,45,50,37,41,27,25,21,34,33,33,40,18,30,28,26,28,37,34,27,38,29,37,30,29,39,28,22,36,25,40,31,23,18,1813,55,34.86538462,
P73,35,30,36,46,34,29,34,41,56,33,44,36,36,44,37,39,22,29,43,30,33,42,38,48,36,13,29,23,26,28,26,23,29,37,37,26,22,35,31,30,36,35,25,28,23,32,36,32,31,25,40,18,13,1707,56,32.82692308,
P74,8,9,6,15,4,12,4,9,10,11,10,15,15,17,10,11,9,6,19,11,9,8,10,11,6,8,8,7,11,8,4,4,6,6,7,7,8,9,8,7,10,6,7,4,12,12,8,4,11,9,13,10,4,469,19,9.019230769,
P75,34,45,37,27,40,22,28,44,38,45,52,41,45,44,45,28,33,35,37,56,32,41,38,44,31,31,44,33,31,29,33,26,28,27,30,28,29,35,44,37,36,38,34,35,34,38,34,32,26,30,27,24,22,1835,56,35.28846154,
P76,27,34,43,45,28,35,26,34,38,45,26,49,51,41,34,38,41,38,40,34,47,32,32,38,32,18,20,32,26,35,29,25,27,35,20,28,35,24,26,34,40,31,28,31,17,38,34,28,21,28,30,15,15,1683,51,32.36538462,
P77,7,7,6,2,7,5,7,4,1,6,8,3,2,3,7,2,4,7,4,4,0,7,7,5,3,4,3,3,4,4,4,5,5,5,4,2,2,4,4,3,6,1,10,3,3,7,2,2,5,9,6,6,0,234,10,4.5,
P78,39,40,31,39,44,34,31,32,47,36,44,34,31,39,32,44,44,43,40,43,37,34,43,27,35,25,38,27,26,21,26,23,29,33,29,21,36,24,26,24,24,32,30,26,28,38,25,18,22,26,21,20,18,1661,47,31.94230769,
P79,37,34,45,41,37,23,41,40,41,38,37,37,42,30,43,35,30,53,37,40,38,42,34,29,24,30,22,26,24,26,25,28,28,30,29,40,26,24,21,34,28,28,31,25,29,40,24,26,36,29,24,21,21,1682,53,32.34615385,
P80,38,29,32,40,29,36,47,24,36,31,39,35,40,37,51,46,21,36,47,30,35,34,31,29,42,28,17,17,32,29,33,20,27,29,19,22,32,35,29,22,26,23,26,26,25,34,23,35,28,22,20,24,17,1598,51,30.73076923,
P81,14,6,13,5,8,13,7,5,7,4,9,11,16,11,9,16,6,5,5,6,12,14,10,16,16,9,5,5,11,7,8,7,11,9,9,9,5,5,4,13,10,8,6,6,12,11,6,3,3,13,12,12,3,463,16,8.903846154,
P82,10,12,17,13,14,8,7,10,4,7,8,16,6,8,5,6,6,16,8,6,5,5,10,7,12,5,7,6,9,6,9,8,8,8,7,7,12,7,6,6,12,8,7,7,7,7,10,12,15,7,8,7,4,444,17,8.538461538,
P83,46,40,34,38,36,45,48,37,63,37,30,37,44,31,41,37,46,28,34,43,37,39,36,25,38,21,30,20,33,24,25,38,43,28,34,23,27,29,32,40,36,37,31,32,42,36,34,31,31,26,26,33,20,1812,63,34.84615385,
P84,29,26,31,39,28,44,32,42,41,42,46,35,42,35,56,34,62,29,40,39,24,33,36,32,32,26,30,30,34,33,26,24,29,31,31,33,32,30,26,34,28,28,25,23,37,37,42,32,31,36,34,21,21,1752,62,33.69230769,
P85,39,34,28,38,33,37,52,28,31,27,35,41,43,36,28,40,29,39,33,34,42,34,38,29,28,16,26,25,21,23,26,36,31,29,30,25,28,43,29,34,30,33,14,29,20,25,36,46,34,36,31,16,14,1648,52,31.69230769,
P86,37,33,33,32,36,26,45,37,43,36,36,46,32,46,29,39,30,28,38,36,40,32,27,30,32,19,23,30,23,20,25,35,34,34,36,29,41,32,29,34,41,25,31,32,37,35,33,31,29,33,29,25,19,1704,46,32.76923077,
P87,30,38,35,39,37,42,40,35,40,41,34,39,37,40,28,38,31,36,34,30,32,32,34,27,18,26,20,27,33,27,24,29,26,28,35,31,22,37,29,41,36,32,31,25,23,27,36,24,40,23,20,24,18,1643,42,31.59615385,
P88,41,28,32,30,33,41,42,35,45,38,28,43,38,37,32,35,34,26,30,28,38,41,41,32,29,25,18,31,30,26,27,27,34,27,28,32,33,26,31,20,27,29,21,34,30,36,23,29,30,28,23,24,18,1626,45,31.26923077,
P89,24,26,44,31,37,37,38,30,35,49,49,41,45,41,31,27,32,40,41,34,44,27,46,29,24,27,18,36,33,29,26,27,29,33,31,30,29,22,41,28,31,28,30,32,25,38,25,29,28,28,12,28,12,1675,49,32.21153846,
P90,42,34,40,39,47,31,43,40,47,35,38,37,44,27,30,47,39,34,35,30,27,34,29,28,27,28,27,30,27,25,35,25,40,32,28,26,27,32,31,33,32,23,33,29,25,30,40,37,36,29,27,18,18,1709,47,32.86538462,
P91,10,11,7,13,5,9,16,10,9,6,6,12,8,8,6,11,9,14,7,13,9,8,12,11,11,12,5,7,5,8,9,8,10,15,6,5,7,10,8,5,13,6,7,8,8,12,7,9,4,7,6,9,4,457,16,8.788461538,
P92,26,36,56,40,31,44,37,40,38,43,41,38,36,39,45,59,48,42,54,35,53,58,28,27,37,27,27,35,20,33,24,22,40,33,39,38,33,39,38,30,31,34,42,26,32,40,40,29,34,30,30,19,19,1896,59,36.46153846,
P93,11,9,10,13,5,11,1,11,12,9,10,13,12,6,7,7,12,11,12,13,10,7,8,9,2,7,7,12,7,7,9,4,9,6,10,10,10,13,5,10,13,17,4,7,4,10,6,5,6,4,10,10,1,453,17,8.711538462,
P94,14,9,10,9,5,11,6,6,6,9,9,5,8,9,11,8,11,16,10,5,9,12,12,11,12,10,9,9,4,4,8,10,9,6,6,10,5,11,8,8,5,9,10,10,11,7,10,11,9,10,6,9,4,457,16,8.788461538,
P95,12,15,15,13,17,12,9,9,11,12,13,16,6,12,15,21,8,15,12,15,18,14,18,18,21,15,8,12,14,10,10,15,8,5,13,9,9,14,15,10,9,6,9,14,9,10,7,15,13,9,11,14,5,640,21,12.30769231,
P96,31,35,36,44,36,38,36,39,47,39,24,29,46,38,34,26,36,41,57,42,46,31,37,40,27,32,23,28,30,28,31,47,30,30,41,25,22,32,29,32,32,42,30,35,32,28,30,41,40,39,38,21,21,1803,57,34.67307692,
P97,29,37,36,40,33,29,27,49,38,43,35,37,46,44,30,41,28,39,32,40,31,28,32,34,37,26,24,19,35,19,22,36,29,26,25,23,17,25,40,25,31,33,35,30,24,30,23,36,33,32,26,25,17,1644,49,31.61538462,
P98,4,2,4,4,7,2,3,4,4,4,5,5,6,9,6,2,4,4,3,6,6,7,3,6,6,4,1,0,3,3,3,2,3,3,2,1,2,4,4,4,8,2,6,2,5,4,7,2,5,4,5,5,0,210,9,4.038461538,
P99,16,11,9,21,9,5,12,15,11,9,7,8,9,8,8,12,10,10,10,11,9,9,12,13,8,17,6,7,6,9,9,6,8,8,3,9,4,11,7,5,12,8,6,8,11,8,8,8,10,7,9,11,3,483,21,9.288461538,
P100,13,6,7,9,9,15,13,6,7,10,9,12,11,10,12,14,10,19,11,10,8,17,11,15,29,13,5,8,10,6,8,7,9,11,5,6,8,12,9,12,9,8,10,16,11,8,17,16,8,10,23,21,5,579,29,11.13461538,
P101,26,51,45,47,40,36,38,28,38,45,52,37,49,36,37,40,52,37,43,34,44,44,37,41,34,27,27,25,30,19,27,34,39,22,30,28,25,37,45,35,31,33,33,45,29,36,41,33,34,37,21,15,15,1849,52,35.55769231,
P102,34,41,22,32,36,27,44,33,22,38,33,33,39,31,28,37,44,40,40,43,36,28,42,29,43,20,25,27,26,29,24,34,27,29,27,36,28,30,33,39,28,25,36,35,27,24,22,19,32,26,31,29,19,1643,44,31.59615385,
P103,7,5,7,7,14,9,10,6,12,13,8,9,6,9,9,8,13,10,8,8,10,3,13,7,9,6,5,4,5,3,11,10,9,5,7,10,13,10,13,5,12,9,11,5,4,6,6,2,9,10,13,6,2,429,14,8.25,
P104,4,4,5,5,3,7,5,6,5,7,10,5,8,7,3,2,4,6,3,3,1,3,5,5,1,2,3,1,5,5,2,7,3,2,2,2,5,1,3,3,3,3,2,5,1,6,3,3,3,5,5,4,1,206,10,3.961538462,
P105,2,3,3,2,5,4,5,7,5,3,8,3,6,2,2,3,1,7,6,5,6,7,3,4,5,3,3,2,8,4,2,6,2,5,5,1,2,5,3,1,1,1,3,2,6,3,2,3,6,1,4,4,1,195,8,3.75,
P106,11,10,11,16,16,7,11,6,16,15,12,8,10,12,13,16,4,11,14,13,10,14,12,11,15,7,11,8,9,11,12,7,11,9,9,8,5,11,8,11,10,12,8,7,9,7,8,9,8,13,14,21,4,557,21,10.71153846,
P107,19,19,15,24,16,23,27,20,19,17,18,21,18,19,19,18,18,16,23,19,23,15,15,16,23,19,23,13,13,18,15,18,21,15,17,22,13,18,14,12,14,10,13,17,11,16,16,13,14,20,26,20,10,921,27,17.71153846,
P108,0,2,2,0,3,1,2,1,6,3,0,3,4,3,5,1,5,0,1,2,2,3,4,9,2,5,3,2,0,3,3,0,2,4,0,4,6,3,6,4,4,2,5,7,1,2,3,3,3,4,1,4,0,148,9,2.846153846,
P109,9,8,8,5,13,9,13,7,9,14,3,9,10,10,14,17,13,4,11,9,7,6,5,7,4,11,11,15,13,5,7,15,12,11,9,11,10,8,7,12,8,8,7,5,10,5,9,13,13,10,10,10,3,489,17,9.403846154,
P110,9,12,12,6,15,10,9,10,10,9,13,11,8,3,5,10,13,14,9,8,7,8,5,12,11,9,9,12,8,7,3,5,5,11,18,6,13,6,9,10,3,10,11,5,6,8,6,11,10,7,7,7,3,461,18,8.865384615,
P111,5,4,7,4,4,5,4,4,2,6,3,2,3,14,3,2,3,3,4,8,3,1,3,4,4,5,2,4,6,7,2,5,6,3,2,9,5,7,5,4,5,8,6,8,8,2,1,6,2,3,3,9,1,238,14,4.576923077,
P112,31,36,32,51,39,33,35,46,57,34,39,30,32,27,41,27,50,46,35,31,43,43,30,27,41,26,32,32,34,41,38,26,23,44,29,28,22,47,39,34,27,30,40,28,46,36,32,22,28,24,29,35,22,1808,57,34.76923077,
P113,22,26,31,37,32,25,28,33,40,27,38,40,31,32,29,34,34,29,31,43,31,37,27,33,33,23,19,21,19,25,33,37,30,33,27,32,35,33,28,31,31,30,37,28,27,34,41,39,28,32,40,16,16,1612,43,31,
